GO_term	taxon
GO:0004000	cellular organisms
GO:0004001	root
GO:0004013	cellular organisms
GO:0004014	root
GO:0004015	cellular organisms
GO:0004016	cellular organisms
GO:0004017	cellular organisms
GO:0004018	cellular organisms
GO:0004019	root
GO:0004020	cellular organisms
GO:0004021	cellular organisms
GO:0004022	root
GO:0004026	Eukaryota
GO:0004028	Gnathostomata
GO:0004029	root
GO:0004030	cellular organisms
GO:0004031	cellular organisms
GO:0004034	cellular organisms
GO:0004035	cellular organisms
GO:0004037	root
GO:0004038	cellular organisms
GO:0004039	root
GO:0004040	root
GO:0004042	cellular organisms
GO:0004043	cellular organisms
GO:0004044	root
GO:0004045	root
GO:0004046	cellular organisms
GO:0004047	cellular organisms
GO:0004048	cellular organisms
GO:0004049	root
GO:0004050	cellular organisms
GO:0004053	cellular organisms
GO:0004054	Ecdysozoa
GO:0004055	root
GO:0004056	cellular organisms
GO:0004057	root
GO:0004058	cellular organisms
GO:0004059	Eukaryota
GO:0004060	cellular organisms
GO:0004061	root
GO:0004062	root
GO:0004064	cellular organisms
GO:0004065	root
GO:0004066	root
GO:0004067	cellular organisms
GO:0004068	cellular organisms
GO:0004069	cellular organisms
GO:0004070	cellular organisms
GO:0004071	root
GO:0004072	cellular organisms
GO:0004073	root
GO:0004074	cellular organisms
GO:0004075	cellular organisms
GO:0004076	root
GO:0004077	cellular organisms
GO:0004081	root
GO:0004082	cellular organisms
GO:0004084	root
GO:0004087	root
GO:0004088	cellular organisms
GO:0004089	cellular organisms
GO:0004090	root
GO:0004092	cellular organisms
GO:0004095	cellular organisms
GO:0004096	cellular organisms
GO:0004097	cellular organisms
GO:0004099	root
GO:0004100	root
GO:0004102	Bilateria
GO:0004103	root
GO:0004104	cellular organisms
GO:0004105	cellular organisms
GO:0004106	root
GO:0004107	cellular organisms
GO:0004109	cellular organisms
GO:0004111	cellular organisms
GO:0004112	cellular organisms
GO:0004113	cellular organisms
GO:0004114	root
GO:0004115	cellular organisms
GO:0004122	cellular organisms
GO:0004123	cellular organisms
GO:0004124	cellular organisms
GO:0004125	cellular organisms
GO:0004126	cellular organisms
GO:0004128	Eukaryota
GO:0004129	cellular organisms
GO:0004130	cellular organisms
GO:0004131	cellular organisms
GO:0004132	root
GO:0004134	cellular organisms
GO:0004135	cellular organisms
GO:0004136	root
GO:0004137	cellular organisms
GO:0004139	cellular organisms
GO:0004140	cellular organisms
GO:0004141	cellular organisms
GO:0004142	Eukaryota
GO:0004143	cellular organisms
GO:0004144	root
GO:0004145	root
GO:0004146	root
GO:0004148	root
GO:0004149	root
GO:0004150	cellular organisms
GO:0004151	cellular organisms
GO:0004152	cellular organisms
GO:0004155	cellular organisms
GO:0004156	cellular organisms
GO:0004157	cellular organisms
GO:0004160	cellular organisms
GO:0004161	root
GO:0004163	cellular organisms
GO:0004165	cellular organisms
GO:0004168	Eukaryota
GO:0004169	cellular organisms
GO:0004170	root
GO:0004174	cellular organisms
GO:0004175	cellular organisms
GO:0004176	root
GO:0004177	cellular organisms
GO:0004180	root
GO:0004181	cellular organisms
GO:0004185	cellular organisms
GO:0004190	root
GO:0004197	root
GO:0004198	cellular organisms
GO:0004222	root
GO:0004239	cellular organisms
GO:0004252	root
GO:0004298	cellular organisms
GO:0004300	root
GO:0004301	cellular organisms
GO:0004303	cellular organisms
GO:0004305	root
GO:0004306	cellular organisms
GO:0004307	cellular organisms
GO:0004308	root
GO:0004309	cellular organisms
GO:0004311	cellular organisms
GO:0004312	cellular organisms
GO:0004313	cellular organisms
GO:0004314	cellular organisms
GO:0004315	cellular organisms
GO:0004316	cellular organisms
GO:0004318	root
GO:0004321	cellular organisms
GO:0004322	cellular organisms
GO:0004324	cellular organisms
GO:0004325	cellular organisms
GO:0004326	cellular organisms
GO:0004328	Bacteria
GO:0004329	root
GO:0004331	cellular organisms
GO:0004332	cellular organisms
GO:0004333	cellular organisms
GO:0004334	cellular organisms
GO:0004335	cellular organisms
GO:0004336	cellular organisms
GO:0004337	root
GO:0004338	cellular organisms
GO:0004339	cellular organisms
GO:0004340	cellular organisms
GO:0004341	cellular organisms
GO:0004342	cellular organisms
GO:0004343	root
GO:0004345	root
GO:0004346	cellular organisms
GO:0004347	cellular organisms
GO:0004348	cellular organisms
GO:0004349	cellular organisms
GO:0004350	cellular organisms
GO:0004351	cellular organisms
GO:0004352	cellular organisms
GO:0004353	cellular organisms
GO:0004354	root
GO:0004355	cellular organisms
GO:0004356	cellular organisms
GO:0004357	cellular organisms
